cluster_id,character,malePercent,femalePercent,nonbinaryPercent,significant,pValue,size,x_nose,y_nose,x_neck,y_neck,x_lshoulder,y_lshoulder,x_rshoulder,y_rshoulder,x_lelbow,y_lelbow,x_relbow,y_relbow,x_lwrist,y_lwrist,x_rwrist,y_rwrist,x_midhip,y_midhip,x_lhip,y_lhip,x_rhip,y_rhip,x_lknee,y_lknee,x_rknee,y_rknee,x_lankle,y_lankle,x_rankle,y_rankle,x_bigtoe,y_bigtoe,x_rbigtoe,y_rbigtoe
131,neutral,25.0,75.0,0.0,0,,16,0.135076,-0.309779,0.134672,-0.274787,0.160649,-0.275321,0.109951,-0.275201,0.180432,-0.245078,0.077722,-0.252530,0.190537,-0.250501,0.070164,-0.241319,0.129703,-0.173403,0.140895,-0.173315,0.119094,-0.173887,0.089113,-0.130809,0.135728,-0.103083,0.034401,-0.066779,0.159816,-0.024639,0.002350,-0.055794,0.162089,-0.006218
132,neutral,17.0,75.5,7.5,0,0.0004239322406359223,53,0.062312,-0.380692,0.057363,-0.333552,0.087384,-0.334922,0.026233,-0.332692,0.103581,-0.274614,0.011641,-0.264889,0.112018,-0.238643,0.015246,-0.211215,0.063816,-0.212283,0.080512,-0.213298,0.046844,-0.211328,0.057967,-0.124282,0.082677,-0.122896,0.030947,-0.038849,0.110811,-0.026992,0.040072,-0.011210,0.140740,-0.005174
133,neutral,21.7,76.1,2.2,0,3.366967324181842e-05,92,0.052323,-0.364963,0.051398,-0.326806,0.080581,-0.325907,0.022385,-0.327548,0.089730,-0.272428,0.010151,-0.277535,0.061587,-0.278313,0.034474,-0.293444,0.049033,-0.213255,0.066823,-0.212473,0.030883,-0.213572,0.051617,-0.123925,0.048653,-0.126117,0.031784,-0.033741,0.073155,-0.038599,0.021982,-0.006756,0.078910,-0.010682
134,feminine,21.8,76.2,2.1,1,3.599459716952224e-10,193,0.053306,-0.378180,0.054541,-0.334803,0.089773,-0.333904,0.019633,-0.336277,0.103980,-0.278681,0.005446,-0.278282,0.095537,-0.240232,0.009892,-0.232187,0.051794,-0.224052,0.074433,-0.223456,0.028832,-0.224475,0.067062,-0.138158,0.023442,-0.132251,0.060229,-0.062210,0.016308,-0.034394,0.062258,-0.031704,0.014564,-0.000151
135,neutral,19.6,76.3,4.1,0,8.934987773418296e-06,97,0.051908,-0.352438,0.048674,-0.313469,0.080794,-0.318973,0.016477,-0.308546,0.118270,-0.337127,0.005432,-0.249325,0.103772,-0.371298,0.011650,-0.206793,0.052404,-0.202528,0.073539,-0.203352,0.031431,-0.201218,0.073576,-0.117158,0.030863,-0.115844,0.063788,-0.037584,0.030690,-0.032419,0.067320,-0.010553,0.034566,-0.006600
136,neutral,15.0,80.0,5.0,0,,20,0.060527,-0.377634,0.061855,-0.334034,0.037782,-0.335286,0.084820,-0.334171,0.027876,-0.277319,0.101772,-0.272866,0.025772,-0.241872,0.101504,-0.236074,0.064952,-0.210380,0.046470,-0.210128,0.083187,-0.210498,0.038326,-0.117255,0.085390,-0.116861,0.027220,-0.021351,0.096317,-0.023757,0.024005,-0.007286,0.098051,-0.009178
137,feminine,14.4,80.9,4.8,1,5.0460146657086614e-15,188,0.052880,-0.382850,0.055102,-0.337314,0.091619,-0.336453,0.018815,-0.337911,0.107879,-0.275910,0.004433,-0.276290,0.100474,-0.228479,0.006684,-0.227876,0.054231,-0.217917,0.076750,-0.217807,0.031806,-0.217732,0.068375,-0.124434,0.043475,-0.124369,0.057261,-0.033016,0.086407,-0.044509,0.047136,-0.004441,0.095092,-0.010821
138,neutral,19.0,81.0,0.0,0,,21,0.065724,-0.354312,0.057036,-0.309739,0.095514,-0.311860,0.019176,-0.308528,0.112682,-0.242480,0.010500,-0.228081,0.122287,-0.199840,0.044560,-0.182028,0.057192,-0.185485,0.082829,-0.190297,0.030705,-0.179944,0.161347,-0.163552,0.124807,-0.145706,0.108715,-0.062481,0.191965,-0.026827,0.131485,-0.025171,0.248483,-0.007644
139,feminine,13.7,81.9,4.4,1,5.324908837543625e-19,227,0.051857,-0.372113,0.050886,-0.330723,0.084649,-0.331485,0.016569,-0.329799,0.098635,-0.279884,0.004704,-0.268208,0.083219,-0.321946,0.008136,-0.217579,0.050937,-0.215480,0.073229,-0.215485,0.028330,-0.215402,0.070991,-0.123463,0.027379,-0.123026,0.066698,-0.038546,0.029230,-0.037197,0.067124,-0.009599,0.027816,-0.008052
140,neutral,14.7,82.4,2.9,0,0.0020565987783123145,34,0.126439,-0.336521,0.133302,-0.295004,0.168711,-0.293866,0.097715,-0.296240,0.170341,-0.229713,0.079350,-0.244395,0.127263,-0.210804,0.079774,-0.228796,0.132717,-0.186083,0.157571,-0.184053,0.107828,-0.187882,0.099453,-0.184159,0.084688,-0.149011,0.042788,-0.080070,0.108719,-0.041751,0.000000,-0.059265,0.104749,-0.007709
